id,label,artist,title,year,language,genre_tags,rights_basis,rights_notes,local_relpath,duration_s,lufs_pre,lufs_post,hit_definition_id,pair_id,notes
hit-de-m-sica-ligera,hit,Soda Stereo,De Música Ligera,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-de-m-sica-ligera/audio.wav,29.989,-9.60,-20.17,deezer-rank-top2-vs-deepcut,pair-soda-stereo-0,deezer_rank=642178; album=Me Verás Volver (Hits & Más); status=ok
nonh-ameba,nonhit,Soda Stereo,Ameba,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-ameba/audio.wav,29.989,-9.35,-20.13,deezer-rank-top2-vs-deepcut,pair-soda-stereo-0,deezer_rank=224643; album=Dynamo Remastered; status=ok
hit-persiana-americana,hit,Soda Stereo,Persiana Americana,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-persiana-americana/audio.wav,29.989,-8.32,-19.84,deezer-rank-top2-vs-deepcut,pair-soda-stereo-1,deezer_rank=616718; album=Me Verás Volver (Hits & Más); status=ok
nonh-g-nesis,nonhit,Soda Stereo,Génesis,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-g-nesis/audio.wav,29.989,-10.50,-19.28,deezer-rank-top2-vs-deepcut,pair-soda-stereo-1,deezer_rank=271712; album=Comfort y Música Para Volar; status=ok
hit-ji-ji-ji,hit,Patricio Rey y sus Redonditos de Ricota,Ji Ji Ji,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-ji-ji-ji/audio.wav,29.989,-15.85,-19.72,deezer-rank-top2-vs-deepcut,pair-patricio-rey-y-sus-redonditos-de-0,deezer_rank=436117; album=Oktubre; status=ok
nonh-rato-molhado,nonhit,Patricio Rey y sus Redonditos de Ricota,Rato Molhado,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-rato-molhado/audio.wav,29.989,-11.92,-19.34,deezer-rank-top2-vs-deepcut,pair-patricio-rey-y-sus-redonditos-de-0,deezer_rank=173454; album=Momo Sampler; status=ok
hit-la-bestia-pop,hit,Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-la-bestia-pop/audio.wav,29.989,-12.19,-20.12,deezer-rank-top2-vs-deepcut,pair-patricio-rey-y-sus-redonditos-de-1,deezer_rank=435629; album=Gulp!; status=ok
nonh-pensando-como-una-acelga,nonhit,Patricio Rey y sus Redonditos de Ricota,Pensando Como una Acelga,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-pensando-como-una-acelga/audio.wav,29.989,-14.34,-19.46,deezer-rank-top2-vs-deepcut,pair-patricio-rey-y-sus-redonditos-de-1,deezer_rank=180816; album=Momo Sampler; status=ok
hit-mejor-no-hablar-de-ciertas-cosas,hit,Sumo,Mejor No Hablar de Ciertas Cosas,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-mejor-no-hablar-de-ciertas-cosas/audio.wav,29.989,-9.23,-19.33,deezer-rank-top2-vs-deepcut,pair-sumo-0,deezer_rank=289039; album=Divididos Por La Felicidad; status=ok
nonh-noche-de-paz,nonhit,Sumo,Noche de Paz,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-noche-de-paz/audio.wav,29.989,-8.73,-19.54,deezer-rank-top2-vs-deepcut,pair-sumo-0,deezer_rank=39512; album=Obras Cumbres; status=ok
hit-la-rubia-tarada,hit,Sumo,La Rubia Tarada,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-la-rubia-tarada/audio.wav,29.989,-15.70,-19.39,deezer-rank-top2-vs-deepcut,pair-sumo-1,deezer_rank=263831; album=Greatest Hits; status=ok
